fuel,split,method,segment_type,segment_value,observations,mae_mw,rmse_mw,nmae_vs_available_capacity,nrmse_vs_available_capacity
Solar,validation,ieso_raw,hour_block,Evening,2196,0.6484517304189436,4.462962333124183,0.0014985766678768937,0.010313938429483974
Solar,validation,ieso_raw,hour_block,Morning,2196,7.26775956284153,12.005045994332857,0.016701478855258037,0.027587872176712273
Solar,validation,ieso_raw,hour_block,Overnight,2196,0.13934426229508196,1.5287172140663812,0.00032056150642956286,0.0035168142912707467
Solar,validation,linear_residual,season,Fall,2184,3.0297798365634847,6.086497351524632,0.006952497150569636,0.013966808737304751
Solar,validation,linear_residual,season,Spring,2208,3.6251963716251465,6.451657999915867,0.008377965165449908,0.01491002429710046
Solar,validation,linear_residual,season,Summer,2208,4.6128078435551405,8.471618943109746,0.0105846612660234,0.019439183232600212
Solar,validation,linear_residual,season,Winter,2184,3.1602239599254487,6.758976683229845,0.007296656346874024,0.015605833871098814
Solar,validation,linear_residual,hour_block,Afternoon,2196,6.972187791458373,10.13901937252452,0.016034010145577707,0.023316804473400805
Solar,validation,linear_residual,hour_block,Evening,2196,0.9472637447267238,2.664972985080486,0.0021891334074411965,0.006158771961921786
Solar,validation,linear_residual,hour_block,Morning,2196,5.974019538920362,9.234207297427265,0.013728434484858911,0.02122042103753257
Solar,validation,linear_residual,hour_block,Overnight,2196,0.5457281956822928,1.0566988273549254,0.0012554478356528456,0.0024309358875640114
Solar,validation,gradient_boosted,season,Fall,2184,2.8824903290007398,6.0948149832168,0.0066145089346336915,0.013985895375198835
Solar,validation,gradient_boosted,season,Spring,2208,3.1482921886783073,6.126319068791049,0.007275821661374066,0.014158153790646616
Solar,validation,gradient_boosted,season,Summer,2208,4.165527790536694,7.952811378594756,0.00955832155866623,0.01824871475463962
Solar,validation,gradient_boosted,season,Winter,2184,2.7557810440757002,6.487863558715115,0.006362836147323065,0.014979859469981394
Solar,validation,gradient_boosted,hour_block,Afternoon,2196,6.479339895082794,9.67257836101791,0.014900602898516201,0.02224412540414611
Solar,validation,gradient_boosted,hour_block,Evening,2196,0.5175462595020355,2.0301744890604843,0.0011960531719695338,0.004691748018097443
Solar,validation,gradient_boosted,hour_block,Morning,2196,5.769824491813217,9.046891106023645,0.013259189563900762,0.02078996411570894
Solar,validation,gradient_boosted,hour_block,Overnight,2196,0.1945367092056278,0.7805268767703308,0.00044753174283378324,0.0017956022537649178
Solar,validation,best_ml,season,Fall,2184,2.8824903290007398,6.0948149832168,0.0066145089346336915,0.013985895375198835
Solar,validation,best_ml,season,Spring,2208,3.1482921886783073,6.126319068791049,0.007275821661374066,0.014158153790646616
Solar,validation,best_ml,season,Summer,2208,4.165527790536694,7.952811378594756,0.00955832155866623,0.01824871475463962
Solar,validation,best_ml,season,Winter,2184,2.7557810440757002,6.487863558715115,0.006362836147323065,0.014979859469981394
Solar,validation,best_ml,hour_block,Afternoon,2196,6.479339895082794,9.67257836101791,0.014900602898516201,0.02224412540414611
Solar,validation,best_ml,hour_block,Evening,2196,0.5175462595020355,2.0301744890604843,0.0011960531719695338,0.004691748018097443
Solar,validation,best_ml,hour_block,Morning,2196,5.769824491813217,9.046891106023645,0.013259189563900762,0.02078996411570894
Solar,validation,best_ml,hour_block,Overnight,2196,0.1945367092056278,0.7805268767703308,0.00044753174283378324,0.0017956022537649178
Solar,test,seasonal_naive,season,Fall,2184,29.23489010989011,62.68924097535345,0.0680291896142253,0.14587700672223297
Solar,test,seasonal_naive,season,Spring,2207,41.35296782963299,81.81335749394077,0.09572205301180557,0.18937800487192513
Solar,test,seasonal_naive,season,Summer,2208,26.02128623188406,51.3792599348149,0.06032229988020582,0.11910691492311155
Solar,test,seasonal_naive,season,Winter,2160,20.86111111111111,46.70054325958897,0.04865764927186301,0.10892701940119795
Solar,test,seasonal_naive,hour_block,Afternoon,2190,59.757990867579906,89.33917209842991,0.1387294389021219,0.20740277638616703
Solar,test,seasonal_naive,hour_block,Evening,2190,1.3319634703196348,5.729798740558514,0.003117955339592047,0.013412722627914887
Solar,test,seasonal_naive,hour_block,Morning,2190,55.99315068493151,86.33238041821735,0.1294327757036868,0.19956440196610734
Solar,test,seasonal_naive,hour_block,Overnight,2189,0.5564184559159433,3.0909762710029254,0.0012899385849437265,0.0071657751728394885
Solar,test,ieso_raw,season,Fall,2184,5.024725274725275,10.697471544056448,0.011692467021041965,0.024892870037407883
Solar,test,ieso_raw,season,Spring,2207,5.122338015405528,13.710433454150152,0.011856965455903205,0.031736315596979994
Solar,test,ieso_raw,season,Summer,2208,4.769021739130435,9.887867694110389,0.01105550113547241,0.02292196146280736
Solar,test,ieso_raw,season,Winter,2160,3.1351851851851853,8.756743433237927,0.007312685327764233,0.020424729462815584
Solar,test,ieso_raw,hour_block,Afternoon,2190,9.059360730593607,16.573649107811427,0.021031497423535557,0.03847607672055672
Solar,test,ieso_raw,hour_block,Evening,2190,0.9013698630136986,4.441296449827589,0.0021099910320036682,0.01039650432539869
Solar,test,ieso_raw,hour_block,Morning,2190,7.810958904109589,13.346386304811512,0.018055674301221337,0.030851270269924423
Solar,test,ieso_raw,hour_block,Overnight,2189,0.30196436729100046,2.286173108683787,0.0007000405621082129,0.005300009144911372
Solar,test,linear_residual,season,Fall,2184,3.8859308989145864,7.64940734432794,0.00904250807703929,0.017800066314861515
Solar,test,linear_residual,season,Spring,2207,4.746715306506266,11.426835186306326,0.010987490331365033,0.026450341556307277
Solar,test,linear_residual,season,Summer,2208,3.9927093976549175,7.468466688708604,0.009255861200463698,0.017313328911834843
Solar,test,linear_residual,season,Winter,2160,2.7080928079868216,6.0838142902068535,0.006316510628069757,0.014190236579026894
Solar,test,linear_residual,hour_block,Afternoon,2190,7.583347716250712,12.916143405862616,0.017604902012291403,0.029985099924883556
Solar,test,linear_residual,hour_block,Evening,2190,0.9683011447985996,2.826098348595411,0.0022666685626396193,0.006615533107751652
Solar,test,linear_residual,hour_block,Morning,2190,6.276677420378824,10.309000393095598,0.014509056389550828,0.02383010277662131
Solar,test,linear_residual,hour_block,Overnight,2189,0.5272827883210444,1.2621897409818879,0.0012223936977654472,0.0029261201369255537
Solar,test,gradient_boosted,season,Fall,2184,3.7630751377233893,7.635172970917691,0.008756624400313974,0.01776694312253462
Solar,test,gradient_boosted,season,Spring,2207,4.307916737880233,10.986045573198583,0.00997177847192681,0.025430020913620115
Solar,test,gradient_boosted,season,Summer,2208,3.8376178199936404,7.496140487205081,0.008896329370514629,0.01737748205003304
Solar,test,gradient_boosted,season,Winter,2160,2.4649629172555967,6.034988368969927,0.005749420558528575,0.014076352206412792
Solar,test,gradient_boosted,hour_block,Afternoon,2190,7.254945823370133,12.5476511056295,0.01684251007654722,0.0291296372610806
Solar,test,gradient_boosted,hour_block,Evening,2190,0.7448394877555992,2.8645298202627254,0.0017435735361640728,0.006705496244852348
Solar,test,gradient_boosted,hour_block,Morning,2190,6.1065898294271435,10.259442045733397,0.014115884925892618,0.02371554457834326
Solar,test,gradient_boosted,hour_block,Overnight,2189,0.2882351901767047,1.1990845485301858,0.0006682123667797462,0.00277982408619562
Solar,test,best_ml,season,Fall,2184,3.7630751377233893,7.635172970917691,0.008756624400313974,0.01776694312253462
Solar,test,best_ml,season,Spring,2207,4.307916737880233,10.986045573198583,0.00997177847192681,0.025430020913620115
Solar,test,best_ml,season,Summer,2208,3.8376178199936404,7.496140487205081,0.008896329370514629,0.01737748205003304
Solar,test,best_ml,season,Winter,2160,2.4649629172555967,6.034988368969927,0.005749420558528575,0.014076352206412792
Solar,test,best_ml,hour_block,Afternoon,2190,7.254945823370133,12.5476511056295,0.01684251007654722,0.0291296372610806
Solar,test,best_ml,hour_block,Evening,2190,0.7448394877555992,2.8645298202627254,0.0017435735361640728,0.006705496244852348
Solar,test,best_ml,hour_block,Morning,2190,6.1065898294271435,10.259442045733397,0.014115884925892618,0.02371554457834326
Solar,test,best_ml,hour_block,Overnight,2189,0.2882351901767047,1.1990845485301858,0.0006682123667797462,0.00277982408619562
