fuel,split,method,segment_type,segment_value,observations,mae_mw,rmse_mw,nmae_vs_available_capacity,nrmse_vs_available_capacity
Wind,validation,seasonal_naive,hour_block,Evening,2196,1057.0746812386158,1383.7057471578516,0.21659793951027403,0.2835256761345712
Wind,validation,seasonal_naive,hour_block,Morning,2196,1075.5887978142077,1419.5951510861291,0.22162295855516415,0.29250479176952
Wind,validation,seasonal_naive,hour_block,Overnight,2196,1002.367941712204,1281.3843397073958,0.20548920938932214,0.2626886235413264
Wind,validation,ieso_raw,season,Fall,2184,68.07142857142857,131.77673217551398,0.013918653006036957,0.026944558795263616
Wind,validation,ieso_raw,season,Spring,2208,74.19882246376811,155.02274698679975,0.015171107527612578,0.03169682059187737
Wind,validation,ieso_raw,season,Summer,2208,51.4375,123.6859298349268,0.010625054318525047,0.025548864601377883
Wind,validation,ieso_raw,season,Winter,2184,48.11767399267399,97.94697255267481,0.009914658966073034,0.020181998609636452
Wind,validation,ieso_raw,hour_block,Afternoon,2196,61.63979963570127,130.57804267060638,0.012672183993959037,0.02684481442302684
Wind,validation,ieso_raw,hour_block,Evening,2196,50.669854280510016,94.4629508815662,0.010382413113503472,0.019355756867653964
Wind,validation,ieso_raw,hour_block,Morning,2196,50.57741347905282,102.53124718080693,0.010421376676732305,0.021126362036067225
Wind,validation,ieso_raw,hour_block,Overnight,2196,78.98998178506375,172.82954319739866,0.016193244248178536,0.035430708338583285
Wind,validation,linear_residual,season,Fall,2184,74.7612951415141,110.44381989208212,0.015286538672605581,0.022582590640448964
Wind,validation,linear_residual,season,Spring,2208,76.69296671274817,110.9100387160638,0.01568107425395962,0.022677288767954763
Wind,validation,linear_residual,season,Summer,2208,67.01942674677703,98.53785625158994,0.013843694767065201,0.0203542177420006
Wind,validation,linear_residual,season,Winter,2184,68.9958417903963,92.11447218171944,0.01421661075165562,0.018980210424564967
Wind,validation,linear_residual,hour_block,Afternoon,2196,75.99148768241658,106.19765800657339,0.01562266781491135,0.021832586574590095
